bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_packets,src2dst_bytes,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_min_piat_ms,bidirectional_max_piat_ms,bidirectional_syn_packets,bidirectional_ack_packets,bidirectional_rst_packets,bidirectional_fin_packets,bidirectional_psh_packets
8931.0,17,3788,10.2,2272.7999999999997,6.800000000000001,1515.2,111.41,222.82,44.564,334.23,525.3529411764706,157.60588235294117,0.1,8931.0,1,16,0,1,8
8989.0,17,3788,10.2,2272.7999999999997,6.800000000000001,1515.2,111.41,222.82,44.564,334.23,528.7647058823529,158.62941176470588,0.1,8989.0,1,16,0,1,8
8457.0,13,5571,7.8,3342.6,5.2,2228.4,214.27,428.54,85.70800000000001,642.8100000000001,650.5384615384615,195.16153846153847,0.1,8457.0,1,12,0,1,6
8493.0,15,5677,9.0,3406.2,6.0,2270.8,189.235,378.47,75.694,567.705,566.2,169.86,0.1,8493.0,1,14,0,1,7
8506.0,15,5677,9.0,3406.2,6.0,2270.8,189.235,378.47,75.694,567.705,567.0666666666667,170.12,0.1,8506.0,1,14,0,1,7
11002.0,18,3705,10.799999999999999,2223.0,7.2,1482.0,102.915,205.83,41.166000000000004,308.745,611.2222222222222,183.36666666666665,0.1,11002.0,1,17,0,1,9
11174.0,19,3759,11.4,2255.4,7.6000000000000005,1503.6000000000001,98.92,197.84,39.568000000000005,296.76,588.1052631578947,176.4315789473684,0.1,11174.0,1,18,0,1,9
11251.0,19,3759,11.4,2255.4,7.6000000000000005,1503.6000000000001,98.92,197.84,39.568000000000005,296.76,592.1578947368421,177.64736842105262,0.1,11251.0,1,18,0,1,9
11277.0,18,3693,10.799999999999999,2215.7999999999997,7.2,1477.2,102.585,205.17,41.034,307.755,626.5,187.95,0.1,11277.0,1,17,0,1,9
11307.0,18,3693,10.799999999999999,2215.7999999999997,7.2,1477.2,102.585,205.17,41.034,307.755,628.1666666666666,188.45,0.1,11307.0,1,17,0,1,9
1.0,1,217,0.6,130.2,0.4,86.80000000000001,108.5,217.0,43.400000000000006,325.5,1.0,0.3,0.1,1.0,0,0,0,0,0
10172.0,17,9268,10.2,5560.8,6.800000000000001,3707.2000000000003,272.59,545.18,109.036,817.77,598.3529411764706,179.50588235294117,0.1,10172.0,1,16,0,1,8
2.0,2,232,1.2,139.2,0.8,92.80000000000001,58.0,116.0,23.200000000000003,174.0,1.0,0.3,0.1,2.0,0,1,0,0,1
462.0,10,2586,6.0,1551.6,4.0,1034.4,129.3,258.6,51.720000000000006,387.90000000000003,46.2,13.860000000000001,0.1,462.0,1,9,0,1,5
492.0,8,4379,4.8,2627.4,3.2,1751.6000000000001,273.69,547.38,109.476,821.0699999999999,61.5,18.45,0.1,492.0,1,7,0,1,4
10425.0,17,9271,10.2,5562.599999999999,6.800000000000001,3708.4,272.675,545.35,109.07000000000001,818.0250000000001,613.2352941176471,183.97058823529412,0.1,10425.0,1,16,0,1,8
13015.0,15,3604,9.0,2162.4,6.0,1441.6000000000001,120.135,240.27,48.054,360.40500000000003,867.6666666666666,260.29999999999995,0.1,13015.0,1,14,0,1,7
13155.0,16,3658,9.6,2194.7999999999997,6.4,1463.2,114.31,228.62,45.724000000000004,342.93,822.1875,246.65625,0.1,13155.0,1,15,0,1,8
12159.0,15,4915,9.0,2949.0,6.0,1966.0,163.835,327.67,65.534,491.505,810.6,243.18,0.1,12159.0,1,14,0,1,7
12361.0,15,4935,9.0,2961.0,6.0,1974.0,164.5,329.0,65.8,493.5,824.0666666666667,247.22,0.1,12361.0,1,14,0,1,7
